content,content_clean,score,label,content_length,content_clean_length
Good gamee,good game,7,Positive,2,2
A very bad game. We absolutely hate it 🤬😡,bad game absolut hate,-7,Negative,9,4
Superb 😃😃😃😄😄,superb,0,Neutral,2,1
Faltu apps faltu game ato botsor r abeg ses kore dilo,faltu app faltu game ato botsor r abeg se kore dilo,2,Positive,11,11
Finally time to say goodbye 7 year journey.. reason is COC support LGBTQ+,final time say goodby year journey reason coc support lgbtq,8,Positive,13,10
Op,op,0,Neutral,1,1
Bro what the heck ! You guys are supporting this LGBT ! Good bye !!,bro heck guy support lgbt good bye,6,Positive,15,7
Boycott supersell,boycott supersel,0,Neutral,2,2
best strategy game,best strategi game,2,Positive,3,3
So interesting game,interest game,2,Positive,3,2
Boycott!🤬🤬🤬,boycott,0,Neutral,1,1
Be proud of yourself being what ever you like...after 8 years it wasn't expected by you supercell.. Uninstalling this game ...,proud ever likeaft year wasnt expect supercel uninstal game,7,Positive,21,9
Good,good,5,Positive,1,1
Imagine supporting LGBTQ,imagin support lgbtq,4,Positive,3,3
"As soon as I saw you support LGBTQ, I uninstalled it. 10 years relationship ends here.",soon saw support lgbtq uninstal year relationship end,4,Positive,16,8
paltu gems,paltu gem,0,Neutral,2,2
Finally i install this apps cuzz you supported 3rd gender....bye bye,final instal app cuzz support rd genderby bye,4,Positive,11,8
Bla,bla,0,Neutral,1,1
"I changed my rating from 5 to 1, if only their is lower than that i would choose it because you support LGBTQ. Thank you for the memories.",chang rate lower would choos support lgbtq thank memori,8,Positive,28,9
Stop prompting Transgender 💔,stop prompt transgend,3,Positive,4,3
I would have given zero stars but can't give stars so I gave one star only for supporting lgbtq🤮,would given zero star cant give star gave one star support lgbtq,1,Positive,19,12
Like it,like,0,Neutral,2,1
You guys are supporting LGBT and that is against of my religion,guy support lgbt religion,4,Positive,12,4
It really broke my heart when I saw COC is promoting LGBTQ in Facebook. Bye bye Supercell,realli broke heart saw coc promot lgbtq facebook bye bye supercel,-6,Negative,17,11
They are promoteing LGBTQ Which is harmful for human culture. Please boycott them.Thanks. ALLAH hu AKHBER,promot lgbtq harm human cultur pleas boycott themthank allah hu akhber,5,Positive,16,11
My favourite game,favourit game,2,Positive,3,2
Best game ever,best game ever,2,Positive,3,3
it is my favourite game,favourit game,2,Positive,5,2
It’s totally irritating to have such update... Going worst day by day.. Most of our country's players are uninstalling this game for it's *** update..,total irrit updat go worst day day countri player uninstal game updat,2,Positive,25,12
Taa nice,taa nice,4,Positive,2,2
I've been playing this since 2017 because I support LGBT I'm really stopping now,ive play sinc support lgbt im realli stop,7,Positive,14,8
Say no to lgbtq++ save childrens,say lgbtq save children,1,Positive,6,4
8 years journey with this game.. But time to say good bye... What shame despite having huge royel fanbase you took the path of supporting l g b t q... Best of luck on you downfall 😒..,year journey game time say good bye shame despit huge royel fanbas took path support l g b q best luck downfal,13,Positive,37,22
It's not boring,bore,0,Neutral,3,1
You shouldn't go against Muslim. You will realize what a big mistake it was. 🤗,shouldnt go muslim realiz big mistak,3,Positive,15,6
Very disrespectful to religious values,disrespect religi valu,1,Positive,5,3
Garbage 🌈,garbag,0,Neutral,2,1
Nice game to play with friends,nice game play friend,6,Positive,6,4
you are supporting LGBT. I have to uninstall this game,support lgbt uninstal game,6,Positive,10,4
Nice game,nice game,6,Positive,2,2
Boycott supercell. They supports lgbtq.Bye.,boycott supercel support lgbtqbye,4,Positive,5,4
You guys are support LGBTQ. What a shame.,guy support lgbtq shame,4,Positive,8,4
Very good game love playing for 3 years 👍👍👍,good game love play year,12,Positive,9,5
Good.but very much glitch in builder base in fight.,goodbut much glitch builder base fight,0,Neutral,9,6
I installed this bcz you gys support LGBTQ 🤬😡,instal bcz gy support lgbtq,4,Positive,9,5
I cannot log in to my supercell id because iam not recieving any code from email,log supercel id iam reciev code email,0,Neutral,16,7
This game supports lgbtq+.Thats why i hereby declare that i will never play this game tgis game until it apologize to us,game support lgbtqthat herebi declar never play game tgi game apolog us,10,Positive,22,12
Great game,great game,5,Positive,2,2
Just noticed they promote the same sick thing.good bye to coc.,notic promot sick thinggood bye coc,-3,Negative,11,6
because yousupports LGBTQ 😡😡,yousupport lgbtq,0,Neutral,4,2
This game was my emotion!! Right now this game support lgbtq*--- I deleted this game for permanently😡😡..,game emot right game support lgbtq delet game perman,10,Positive,17,9
Before today this was my fav online game. Today your post that was promoting or supporting lesbian that was very shoking and very angry moment for the entire woarld. You guys did a very big mistake.Now you will have to regret of it.. From now just see how fast this game will downfall... Good bye COC.. We will never meet again. 💔,today fav onlin game today post promot support lesbian shoke angri moment entir woarld guy big mistakenow regret see fast game downfal good bye coc never meet,15,Positive,62,27
"I played coc for 6 years, but I am Muslim,,LGBTQ boycott,,coc boycott ,, good bay clash of clans ..",play coc year muslimlgbtq boycottcoc boycott good bay clash clan,5,Positive,19,10
"I love this game,,,but i have uninstall it...bcz it supports this 🏳️‍🌈....as a muslim i can't accept this from supercell it was a great journey though😩💔",love gamebut uninstal itbcz support muslim cant accept supercel great journey though,15,Positive,26,12
It's a game not some political bargaining chip. Fire new community manager.,game polit bargain chip fire new commun manag,2,Positive,12,8
Gay supercell,gay supercel,0,Neutral,2,2
They started supporting LGBTQ,start support lgbtq,4,Positive,4,3
Good game,good game,7,Positive,2,2
كما قال عصام ساج دين رضي الله عنه: اغمضتها كي لا تفيض ف أمطرت,كما قال عصام ساج دين رضي الله عنه اغمضتها كي لا تفيض ف أمطرت,0,Neutral,14,14
Very bad game.,bad game,-2,Negative,3,2
Worst support team.,worst support team,5,Positive,3,3
polichuuuu,polichuuuu,0,Neutral,1,1
You guys ar supporting lgbtq and promoting pride.. That's very disappointing. Didn’t expect that. It was my one of the most fav game but as a muslim from now I'll never install it again. I'm very disappointed,guy ar support lgbtq promot pride that disappoint didnt expect one fav game muslim ill never instal im disappoint,14,Positive,37,19
"Idk what their name says, but all I can say is that he 3 star me with half his army",idk name say say star half armi,-1,Negative,20,7
Fak la promote lgbt...uninstall,fak la promot lgbtuninstal,0,Neutral,4,4
This game is fantastic,game fantast,2,Positive,4,2
COC Started Promote LGBTQ #boycottsupercell,coc start promot lgbtq,0,Neutral,5,4
"Why support 🏳️‍🌈😡 Stop it,,,☝️",support stop,7,Positive,5,2
"experience was good , but Linking With LGBTQ... I quit the from game",experi good link lgbtq quit game,7,Positive,13,6
Supporting LGBTQ made me quit this game. Bye bye Clash of clans,support lgbtq made quit game bye bye clash clan,0,Neutral,12,9
Don't normalise 🏳️‍🌈. This is sin.,dont normalis sin,-1,Negative,6,3
Very bad. They support LGBT,bad support lgbt,0,Neutral,5,3
Supercell Supports LGBTQ And I Want This Company To Go Bankrupt,supercel support lgbtq want compani go bankrupt,4,Positive,11,7
Very bad,bad,-4,Negative,2,1
Worst support system ever,worst support system ever,4,Positive,4,4
Coc is supporting lgbtq. Everybody report & uninstall this garbage.,coc support lgbtq everybodi report uninstal garbag,4,Positive,10,7
"7 years emotion 😥 Uninstall done! Support fooking LGBTQ, bye!",year emot uninstal done support fook lgbtq bye,1,Positive,10,8
Warest game time west game plz don't download don't u r West time,warest game time west game plz dont download dont u r west time,4,Positive,13,13
Trying to force their agenda on us,tri forc agenda us,0,Neutral,7,4
This is very bad game,bad game,-2,Negative,5,2
I'm leaving this game because now you're supporting LGBTQ 🌈. I'm playing this game for almost 5 years and it's high time to leave. Good Bye,im leav game your support lgbtq im play game almost year high time leav good bye,10,Positive,26,16
Super 😊 game 🎯,super game,5,Positive,4,2
It's a matter of shame that clash of clans supports LGBTQ👎,matter shame clash clan support lgbtq,4,Positive,11,6
There are 2 Gender and they're male and Female Be carefule about that,gender theyr male femal careful,0,Neutral,13,5
"I don't know what happened with supercell game, they just get constantly DC'ed like every 2 to 3 minutes",dont know happen supercel game get constantli dced like everi minut,2,Positive,19,11
Promotes Homosexuality.,promot homosexu,0,Neutral,2,2
After 8 years of playing clash of clans. Now it’s time to say goodbye,year play clash clan time say goodby,1,Positive,14,7
Please unban Iranian players,pleas unban iranian player,0,Neutral,4,4
This a a magnificent strategy game,magnific strategi game,2,Positive,6,3
This game was very good 🥹 I loved this game so much But I have to say goodbye with sadness There is nothing to do even if it feels very bad Because first of all I am a Muslim and my religion Islam #boycotsupercell,game good love game much say goodby sad noth even feel bad first muslim religion islam,14,Positive,44,16
No hate but a game shouldn’t promote such agenda like lgbtq+,hate game shouldnt promot agenda like lgbtq,-3,Negative,11,7
Though it’s my fav game. But you're support 🏳️‍🌈. So rating from 5★ to 1★.,though fav game your support rate,11,Positive,15,6
"10 years of passion in this game. But due to opposition to my religion, deleted all emotions Boycott Class of Clan Supercell Millions of people boycott your game because of the update you are bringing",year passion game due opposit religion delet emot boycott class clan supercel million peopl boycott game updat bring,4,Positive,35,18
aaro kor lghdtv support,aaro kor lghdtv support,4,Positive,4,4
Good game,good game,7,Positive,2,2
Bad game,bad game,-2,Negative,2,2
I hate this,hate,-5,Negative,3,1
Translate text with your camera We don't agree with what you want to lag support for LGBT,translat text camera dont agre want lag support lgbt,4,Positive,17,9
For promoting LGBTQ 👎👎👎👎👎👎👎,promot lgbtq,0,Neutral,4,2
Very bad,bad,-4,Negative,2,1
My favorite 💓 game like This game ♥️♥️💖💖💖💖💖💖💖💖💖😍,favorit game like game,4,Positive,8,4
Disgusting game,disgust game,2,Positive,2,2
Boycott coc,boycott coc,0,Neutral,2,2
They support LSBND 🤬🤬🤬,support lsbnd,4,Positive,4,2
😡😡😡good bye,good bye,2,Positive,2,2
Just for Rainbow I will give half star if i can,rainbow give half star,0,Neutral,11,4
It's time to say goodbye supercell 🤬🤬 Go to hellfire ☠️,time say goodby supercel go hellfir,1,Positive,11,6
توقفوا عن دعم المثليه,توقفوا عن دعم المثليه,0,Neutral,4,4
They hurt people feelings. They support lgbtq I quit!!!,hurt peopl feel support lgbtq quit,4,Positive,9,6
Boycott coc,boycott coc,0,Neutral,2,2
"After I saw this, I started to hate the game very much and I will delete it because it supports filth . Goodbye childhood game",saw start hate game much delet support filth goodby childhood game,3,Positive,25,11
Unbalance cw/cwl match making.,unbal cwcwl match make,0,Neutral,4,4
Uninstall because it support LGBTQ,uninstal support lgbtq,4,Positive,5,3
I love this game 🎯🤩🤩,love game,7,Positive,5,2
#Boycote coc It's time to delete Clash of Clans and left all Supercell's games for ever. #boycottsupercell #boycottclashofclans,coc time delet clash clan left supercel game ever,2,Positive,18,9
One of the best update I've ever seen,one best updat ive ever seen,0,Neutral,8,6
Unfortunately my supercell id has been disconnected and no help from u people to recover my supercell id just asking random questions and not helping me how can I get my id back tel me,unfortun supercel id disconnect help u peopl recov supercel id ask random question help get id back tel,0,Neutral,35,18
Clash of clans is my childhood emotion. You guys playing with our emotion. You guys revealed your true face. It's time to grab my emotion.,clash clan childhood emot guy play emot guy reveal true face time grab emot,0,Neutral,25,14
Gay supercell,gay supercel,0,Neutral,2,2
Interesting,interest,0,Neutral,1,1
Fun game until you guys support some bs agenda.,fun game guy support bs agenda,6,Positive,9,6
Great game,great game,5,Positive,2,2
Good bye forever. We are muslim and we don't support that thing,good bye forev muslim dont support thing,9,Positive,12,7
this game is not the same game I played when I was a kid.,game game play kid,4,Positive,14,4
Little gift for Today post on fb.,littl gift today post fb,0,Neutral,7,5
For support lgebete(homosexual),support lgebetehomosexu,4,Positive,3,2
Bad game,bad game,-2,Negative,2,2
Game yang mencabar dan perlukan banyak strategi..amat payah juga untuk memainkan game satu ini🗿,game yang mencabar dan perlukan banyak strategiamat payah juga untuk memainkan game satu ini,5,Positive,14,14
Bading,bade,0,Neutral,1,1
Best game in Play Store,best game play store,2,Positive,5,4
Boycott clash of clans,boycott clash clan,0,Neutral,4,3
realy fun and I got to spend money like in every supercell game,reali fun got spend money like everi supercel game,-1,Negative,13,9
"Súper fun game to play, is not huge either hard to play. Love the style graphics of the game also the characters look super cool.",súper fun game play huge either hard play love style graphic game also charact look super cool,14,Positive,25,17
"Dripping to one star, as the shop is greyed out and can't buy anything, and support is not responding",drip one star shop grey cant buy anyth support respond,4,Positive,19,10
Too much Bad,much bad,-4,Negative,3,2
We do not support those who support homosexuals. I played this game for seven long years from 2017 to 24 but not anymore. Now it's time to say goodbye to this game forever. So I deleted my most favorite game today.,support support homosexu play game seven long year anymor time say goodby game forev delet favorit game today,15,Positive,41,18
Its supports LGBT and thats why 1 star rating,support lgbt that star rate,4,Positive,9,5
Finally it’s the day when I deleted this game. The concept was good but because Supercell is supporting LGBTQ I can't support you guys anymore. Get ready for the downfall Supercell.,final day delet game concept good supercel support lgbtq cant support guy anymor get readi downfal supercel,18,Positive,31,17
For supportibg lgbtq,supportibg lgbtq,0,Neutral,3,2
I am leaving this game...dont want to play with LGBTQ games community,leav gamedont want play lgbtq game commun,2,Positive,12,7
Uninstall done✅,uninstal done,0,Neutral,2,2
سبب النجمة دعمكم للمثلية,سبب النجمة دعمكم للمثلية,0,Neutral,4,4
"this is just a game, not for lgbt groups 🗑#nolgbtingame🏳‍🌈",game lgbt group,2,Positive,10,3
You made your own grave supercell,made grave supercel,0,Neutral,6,3
Perfect In single Word,perfect singl word,0,Neutral,4,3
This is the best game that have I ever played on my life,best game ever play life,0,Neutral,13,5
Bye bye supercell. 😡😡😡,bye bye supercel,-6,Negative,4,3
"The censoring of normal words make it difficult to communicate. For example ""Let it slide, park"" gets censored for some reason.",censor normal word make difficult commun exampl let slide park get censor reason,1,Positive,21,13
Coc,coc,0,Neutral,1,1
لعبة تدعم المثلية والاشياء التي هي خارجة عن نطاق الفطره الصحيحه والسليمه,لعبة تدعم المثلية والاشياء التي هي خارجة عن نطاق الفطره الصحيحه والسليمه,0,Neutral,12,12
Mantap,mantap,5,Positive,1,1
If you are Muslim don't download this.,muslim dont download,3,Positive,7,3
"It Was Great Journy, Good Bye",great journi good bye,5,Positive,6,4
نكماتكم,نكماتكم,0,Neutral,1,1
Good game,good game,7,Positive,2,2
Boykot clash of clans 👎👎👎👎👎,boykot clash clan,0,Neutral,5,3
This game promote 👭👬🏳️‍🌈 .,game promot,2,Positive,5,2
Best games,best game,2,Positive,2,2
Delete that one post chief.,delet one post chief,0,Neutral,5,4
Such a worst diccision to 🏳️‍🌈 this advertising..I think Every Muslim Against that.So you Are terget Muslim people.That was bad.I am stop playing now.I think every people should that..stop 🏳️‍🌈 advertising such a nasty things..,worst diccis advertisingi think everi muslim thatso terget muslim peoplethat badi stop play nowi think everi peopl thatstop advertis nasti thing,9,Positive,35,21
Stop promoting LGBTQ.,stop promot lgbtq,3,Positive,3,3
My time has come bye clash of clans childhood memories 😅💔,time come bye clash clan childhood memori,-3,Negative,11,7
No LGBTQ 🚫,lgbtq,0,Neutral,3,1
We don't support l*btq,dont support lbtq,4,Positive,4,3
Lift the ban on Syria,lift ban syria,0,Neutral,5,3
Pride my foot,pride foot,0,Neutral,3,2
Glad to be back!!,glad back,0,Neutral,4,2
Sooo baad,sooo baad,0,Neutral,2,2
Goodbye coc go to hellfire,goodby coc go hellfir,0,Neutral,5,4
Good game 😌😌,good game,7,Positive,3,2
Nice game!!,nice game,6,Positive,2,2
SAY NO TO LGBTQ..ALREADY UNINSTALL THIS GAME..I LIKE THE OLD CLASH OF CLAN..SO SAD TO SAY GOODBYE,say lgbtqalreadi uninstal gamei like old clash clanso sad say goodby,-2,Negative,17,11
Bodo..punoh.. unfortunately stoped kanape erk?,bodopunoh unfortun stope kanap erk,0,Neutral,5,5
Shame on you greedycell,shame greedycel,0,Neutral,4,2
Changing my 5 stars review to 1 star because of absolutely useless support!,chang star review star absolut useless support,4,Positive,13,7
Good,good,5,Positive,1,1
Support LGBTQ well😌,support lgbtq well,4,Positive,3,3
Its not good anymre,good anymr,5,Positive,4,2
بسبب الدعم الشواز,بسبب الدعم الشواز,0,Neutral,3,3
"There are only two genders, male and female, the rest appeared due to a deficiency in it",two gender male femal rest appear due defici,0,Neutral,17,8
قيمتكم بنجمة واحدة بسبب دعمكم للمثلين الجنسيين(🏳️‍🌈),قيمتكم بنجمة واحدة بسبب دعمكم للمثلين الجنسيين,0,Neutral,7,7
Garbage lgbtq game,garbag lgbtq game,2,Positive,3,3
"I only play supercell games, but I think I'm gonna say it good buy for very known reason in June 2024 issue😓😓",play supercel game think im gon na say good buy known reason june issu,8,Positive,22,14
"yall weirdos, why glorifying that stupid pride in this game? didn’t you say its a game and the game shouldn’t be involved in real life politics? then what's this huh? you all are going to hell for destroying this world and society.",yall weirdo glorifi stupid pride game didnt say game game shouldnt involv real life polit what huh go hell destroy world societi,7,Positive,42,22
Good,good,5,Positive,1,1
The post on YouTube,post youtub,0,Neutral,4,2
This app organization support LGBT,app organ support lgbt,4,Positive,5,4
I love coc game but now thay are not good,love coc game thay good,12,Positive,10,5
Very good games. I love it 🥰,good game love,12,Positive,7,3
Be yourself and be proud of being yourself...You MF...💔,proud yourselfy mf,5,Positive,9,3
i have been playing this game since 2016. I still enjoy unless lots of clasher leave it and change to another game.,play game sinc still enjoy unless lot clasher leav chang anoth game,2,Positive,22,12
"Since 2014 I am playing the game, I really enjoy this game, This game was very good 🥹 I loved this game so much But I have to say goodbye with sadness 😓 There is nothing to do even if it feels very bad Because first of all I am a Muslim and my religion Islam ❤️ #boycotsupercell",sinc play game realli enjoy game game good love game much say goodby sad noth even feel bad first muslim religion islam,21,Positive,58,22
"( after 7 years of playing today will be the last, they know what had they done)",year play today last know done,0,Neutral,17,6
They support lgpt,support lgpt,4,Positive,3,2
সমকামীদের সমথর্ন বদ্ধ করুন,সমকমদর সমথরন বদধ করন,0,Neutral,4,4
تدعم المثليين,تدعم المثليين,0,Neutral,2,2
"I enjoy the game very much,,🥰🥰🥰",enjoy game much,5,Positive,6,3
Worst update,worst updat,0,Neutral,2,2
Is was good game but now is help this stupd people so by,good game help stupd peopl,9,Positive,13,5
Old game was better,old game better,4,Positive,4,3
"This boi, supporting pride thingy. Bad move boi, bad move. Goodbye forever and ever and ever and never gonna go back. Nah ah. Will tell this to my friends. BOOOOOO👎🏼👎🏼👎🏼",boi support pride thingi bad move boi bad move goodby forev ever ever never gon na go back nah ah tell friend boooooo,-4,Negative,30,23
A game that supports gay men,game support gay men,6,Positive,6,4
"Playing this game again, love the new hero equipments but can't really use them much because of hero upgrade time. I think this game is now ""pay to win"" like others and does not really care about f2p players. And the walls needing enormous amount of resources.",play game love new hero equip cant realli use much hero upgrad time think game pay win like other realli care fp player wall need enorm amount resourc,11,Positive,47,28
Legendary game,legendari game,2,Positive,2,2
Saw the lastest post on Facebook and I'm disappointed by supercell for posting that,saw lastest post facebook im disappoint supercel post,0,Neutral,14,8
one of the most bad game I ever play,one bad game ever play,-2,Negative,9,5
Clash of Gay 🤣,clash gay,0,Neutral,4,2
Disappointed,disappoint,0,Neutral,1,1
"Sorry to say, we don't like your recent social media post and also don't support you after that. So I decided to delete this game and boycott Supercell permanently.",sorri say dont like recent social media post also dont support decid delet game boycott supercel perman,7,Positive,29,17
coc ⁱˢ ᴛʜᴇ ᴠᴇʀʏ ᵍᵒᵒᵈ ɢᴀᴍᴇ......🇧🇩🇧🇩🇧🇩 clash of Gay,coc ⁱˢ ᴛʜᴇ ᴠᴇʀʏ ᵍᵒᵒᵈ ɢᴀᴍᴇ clash gay,0,Neutral,9,8
It's quite disappointing,quit disappoint,0,Neutral,3,2
useless,useless,0,Neutral,1,1
One of the best gaming experience,one best game experi,2,Positive,6,4
Clash of Gay Haha,clash gay haha,0,Neutral,4,3
Good by😡😡😡,good,5,Positive,2,1
"Sorry, you guys are f!*d up on your ideology. Ieaving the game after 9 years.",sorri guy fd ideolog ieav game year,2,Positive,15,7
Great game ever 👑,great game ever,5,Positive,4,3
Clash of gay.. Shame on this beloved game which i played for 8 years..,clash gay shame belov game play year,2,Positive,14,7
After 8+ years of playing clash of clans Finally it’s time to say good bye. It's not acceptable. #ClashOfClans Shame on Are you supporting LGBTQ?? This is too much. Shame on. Very very disappointing 😞,year play clash clan final time say good bye accept shame support lgbtq much shame disappoint,10,Positive,35,16
Clash of gay🏳️‍🌈,clash gay,0,Neutral,3,2
this is vary vary nice game,vari vari nice game,6,Positive,6,4
good game but 1 star review for bringing lgbtq stuff in,good game star review bring lgbtq stuff,7,Positive,11,7
The game is now overloading and not find any good moments.,game overload find good moment,7,Positive,11,5
Clash of 🏳️‍🌈,clash,0,Neutral,3,1
why support lgbtq?,support lgbtq,4,Positive,3,2
You know why I rate it one star 😐👍,know rate one star,0,Neutral,9,4
Clash of gay...totally useless app....,clash gaytot useless app,0,Neutral,5,4
Supports LGBT,support lgbt,4,Positive,2,2
Clash of Gay,clash gay,0,Neutral,3,2
NICE GAME,nice game,6,Positive,2,2
It is so much addictive game and one can get addicted to this game very easily.It has good graphics also,much addict game one get addict game easilyit good graphic also,3,Positive,20,11
because of lgbtq support,lgbtq support,4,Positive,4,2
You deserve 1 star because you support LGBT,deserv star support lgbt,4,Positive,8,4
Clash of gay 🌈,clash gay,0,Neutral,4,2
Foul activities😡,foul activ,0,Neutral,2,2
She's supporting LGBT things,she support lgbt thing,4,Positive,4,4
What the ---- did u just do...! Wish there was option of 0 stars...! U stood for the people who doesn’t even give a damn about your game... Hope you will get your lesson...,u wish option star u stood peopl doesnt even give damn game hope get lesson,2,Positive,34,15
Clash of gay 🚫❌,clash gay,0,Neutral,4,2
Why you support LGBTQ say good bay👍,support lgbtq say good bay,10,Positive,7,5
You guys just broke all of the users heart Clash of Clans💔 I'm playing this game i was a kid.. this game is my childhood...i playing this game 8 Year's.. just your this kind of stupidity post of supporting gays... many people will leave this community forever remember that... You guys just broke my heart 💔🙂,guy broke user heart clash clan im play game kid game childhoodi play game year kind stupid post support gay mani peopl leav commun forev rememb guy broke heart,10,Positive,56,29
Clash of Gay 🤣🤣🤣,clash gay,0,Neutral,4,2
It's time to delete Clash of Clans and left all Supercell's games for ever.(For supporting LGBTQ) #boycottsupercell #boycottclashofclans,time delet clash clan left supercel game everfor support lgbtq,6,Positive,18,10
Gay game!,gay game,2,Positive,2,2
Not playing the game anymore because they're supporting nutheads now. They removed flags saying they don't want to mix the game with real world. Now they gonna support the rainbow community!!?? That's hilarious.,play game anymor theyr support nuthead remov flag say dont want mix game real world gon na support rainbow commun that hilari,15,Positive,33,22
I don't know why you care about this segment of society that doesn't even play your game 💔💔🤬 The game was deleted after your support for the dirty category. Many players will delete the game because of your support for them 😡 It's time to say goodbye supercell forever 😞🙏🏿,dont know care segment societi doesnt even play game game delet support dirti categori mani player delet game support time say goodby supercel forev,17,Positive,50,24
Gay Game,gay game,2,Positive,2,2
"Loving this game so far. I remember about a decade ago it was everywhere and everyone was talking about it. I missed out on everything back then because of strict parents but now I get to go back and relive everything and it's all every bit as good as they say. I'm leaving this review because the game keeps asking me to and the only options are ""never"" or ""later"" lol. But this is an honest review. Can't wait to see what Clash of Clans has in store the more I progress",love game far rememb decad ago everywher everyon talk miss everyth back strict parent get go back reliv everyth everi bit good say im leav review game keep ask option never later lol honest review cant wait see clash clan store progress,11,Positive,92,42
"You brave to introduce your pride month,so I brave to quite your game.",brave introduc pride monthso brave quit game,2,Positive,13,7
👎👎👎👎👎 spreading lgbt agenda,spread lgbt agenda,0,Neutral,4,3
Faltu game,faltu game,2,Positive,2,2
Top game can play this game for hours only problem is that the upgrades take their own time to Finish and it is very hard to get diamonds,top game play game hour problem upgrad take time finish hard get diamond,8,Positive,28,13
"Once in a lifetime Game,this is a classic masterpiece that been famous from many years and no one will be close to ...",lifetim gamethi classic masterpiec famou mani year one close,-2,Negative,23,9
هي مشان تدعموا مثليه 💩💩💩,هي مشان تدعموا مثليه,0,Neutral,5,4
Very fun and a overall a good game,fun overal good game,7,Positive,8,4
low class gender chooser nd their promoter. It was a good journey. Bye bye supercell,low class gender chooser nd promot good journey bye bye supercel,-1,Negative,15,11
Its a good app everyone play this game,good app everyon play game,7,Positive,8,5
I am always update App easily use,alway updat app easili use,0,Neutral,7,5
I spent 10 years of my life in this game. Now it's time to say good bye.becouse in a social media post I have seen that supercell is supporting that stupid lgtv things ok whatever bye bye leaving all supercell game forever 😮‍💨,spent year life game time say good byebecous social media post seen supercel support stupid lgtv thing ok whatev bye bye leav supercel game forev,10,Positive,43,25
Really!!!!,realli,0,Neutral,1,1
Greatest mobile game to ever exist,greatest mobil game ever exist,3,Positive,6,5
مادام بتدعموا المثليه الجنسيه يبقى المفروض يكون فيه صفر نجوم علشان تاخدوها زى ما انتوا بقيتوا صفر,مادام بتدعموا المثليه الجنسيه يبقى المفروض يكون فيه صفر نجوم علشان تاخدوها زى ما انتوا بقيتوا صفر,0,Neutral,17,17
Nice game namaste 🙏,nice game namast,6,Positive,4,3
"""It was one of the best games until it started supporting homosexuals, which is unethical according to our values. Please withdraw this support.""",one best game start support homosexu uneth accord valu pleas withdraw support,10,Positive,23,12
I liked this game but they did what all don't like LGBTQ support,like game dont like lgbtq support,6,Positive,13,6
"We don't support LGBTQ, we are deleting clash of clans",dont support lgbtq delet clash clan,4,Positive,10,6
Og game,og game,2,Positive,2,2
bad game,bad game,-2,Negative,2,2
Masterpiece,masterpiec,0,Neutral,1,1
Good,good,5,Positive,1,1
I have been playing the game for 6 years. Now it's time to say goodbye Reason your promote homosexuality recently.,play game year time say goodby reason promot homosexu recent,3,Positive,20,10
It's over with coc,coc,0,Neutral,4,1
very bad not good dont dowload,bad good dont dowload,1,Positive,6,4
Support LGBTQ,support lgbtq,4,Positive,2,2
No to LGBTQ,lgbtq,0,Neutral,3,1
"This game is one of the most beautiful strategic games I have ever played But there are some problems that I hope can be solved, including: anything in it takes a long time to finish, and everything in the builder base is very expensive If these problems were solved in the game, it would be the most beautiful game in the history of strategy games",game one beauti strateg game ever play problem hope solv includ anyth take long time finish everyth builder base expens problem solv game would beauti game histori strategi game,2,Positive,65,29
This game betrayed me they support LGBTQ,game betray support lgbtq,6,Positive,7,4
"What a shame.. For a dirty cause that will not benefit you in anything, you lose your loyal players.. It is time to say goodbye after 8 years with this game",shame dirti caus benefit anyth lose loyal player time say goodby year game,3,Positive,31,13
Its good for me and this game is nice,good game nice,11,Positive,9,3
This is specific game I love it,specif game love,7,Positive,7,3
Best game in the world 🚩🚩,best game world,2,Positive,6,3
Today coc posted a GĄý stuff in yt post and I think that made me uncomfortable so I posted 1 star,today coc post gąý stuff yt post think made uncomfort post star,0,Neutral,21,12
Soo good broo....,soo good broo,5,Positive,3,3
I think l need to delete of this coc after playing 7 years with 33 accounts in supercell cause of new post of clash of clash good bye everyone 👋,think l need delet coc play year account supercel caus new post clash clash good bye everyon,2,Positive,30,17
Good 👍 game I have played this game 6 to 8 years and I have no complan about this game I deleted the game becaus my phone is not good know I buy a new phone I can play this game every day I think 💬 this message help you thank you,good game play game year complan game delet game becau phone good know buy new phone play game everi day think messag help thank,26,Positive,52,24
Nice game,nice game,6,Positive,2,2
Good game,good game,7,Positive,2,2
Best game ever,best game ever,2,Positive,3,3
Stop the pride🏳️‍🌈🚫,stop pride,3,Positive,3,2
"Disappointed in the team, joining the gay stuff for... absolutely no reason? You should know that most of your players are normal humans, without them, you're nothing.",disappoint team join gay stuff absolut reason know player normal human without your noth,3,Positive,27,14
This is very super game,super game,5,Positive,5,2
Nice to play,nice play,4,Positive,3,2
I quit because of their new post in social media!,quit new post social media,0,Neutral,10,5
خوب است,خوب است,0,Neutral,2,2
I love this game,love game,7,Positive,4,2
"good game, development still going, calm and relax gameplay",good game develop still go calm relax gameplay,7,Positive,9,8
Not proud of the new community maneger,proud new commun maneg,5,Positive,7,4
Nice game,nice game,6,Positive,2,2
